experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,trust_approach_latency,trust_withdrawal_latency,trust_asymmetry
betrayal,naive_low_alpha,14218,1879.5,9.3975,0.0,4.0,0.2225,8.961445192605808,9.065535099125889,8.95402043715454,0.3803376954056844,1.0,2.0,2.0
betrayal,naive_low_alpha,14219,1864.5,9.3225,0.0,,0.1875,8.90194766016691,9.120585900559451,9.254186062822056,0.388179892897457,2.0,1.0,0.5
betrayal,no_affect,14200,1895.5,9.4775,0.0,9.0,0.395,9.123195275711229,8.827401154460805,8.945101297960251,,6.0,1.0,0.16666666666666666
betrayal,no_affect,14201,1806.0,9.03,0.0,32.0,0.3525,8.945322831755998,9.086562269429132,8.959431341440899,,3.0,1.0,0.3333333333333333
betrayal,no_affect,14202,1847.5,9.2375,0.0,116.0,0.0375,9.195726090566074,9.247285324789706,9.18803024149405,,1.0,1.0,1.0
betrayal,no_affect,14203,2079.5,10.3975,0.0,107.0,0.605,8.442010713890635,8.662000229781222,8.723583793989942,,1.0,7.0,7.0
betrayal,no_affect,14204,1854.5,9.2725,0.0,64.0,0.3725,9.01118638657237,8.896697345720673,8.797535727264602,,2.0,2.0,1.0
betrayal,no_affect,14205,1802.0,9.01,0.0,4.0,0.37,8.999134150455797,8.889768780745667,8.921732310092466,,7.0,1.0,0.14285714285714285
betrayal,no_affect,14206,1862.5,9.3125,0.0,4.0,0.3525,8.714754971937422,8.592444538641297,8.554362083311895,,1.0,1.0,1.0
betrayal,no_affect,14207,1840.0,9.2,0.0,25.0,0.4,8.874704858082131,8.953498838913037,8.921035567757968,,1.0,3.0,3.0
betrayal,no_affect,14208,1863.5,9.3175,0.0,4.0,0.415,8.989751859480165,8.852896509028088,8.900194699527082,,1.0,2.0,2.0
betrayal,no_affect,14209,1975.0,9.875,0.0,4.0,0.22,9.126704624950431,9.169534117748471,9.11453876233637,,1.0,4.0,4.0
betrayal,no_affect,14210,1845.0,9.225,0.0,4.0,0.3225,9.030274188640904,9.005132126500975,8.826781852635825,,8.0,1.0,0.125
betrayal,no_affect,14211,1945.5,9.7275,0.0,100.0,0.405,8.939438373482783,8.87595569246374,9.218544022530999,,1.0,1.0,1.0
betrayal,no_affect,14212,2178.5,10.8925,0.0,4.0,0.6,8.688733340777114,8.359948816720783,8.366673609165355,,2.0,1.0,0.5
betrayal,no_affect,14213,1895.5,9.4775,0.0,78.0,0.3175,9.022502120818286,8.853533846406616,9.019990608024798,,1.0,1.0,1.0
betrayal,no_affect,14214,1854.5,9.2725,0.0,4.0,0.2525,8.953461103281786,9.081571784791574,8.986528075485225,,2.0,2.0,1.0
