experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,trust_approach_latency,trust_withdrawal_latency,trust_asymmetry
betrayal,no_affect,14201,1891.5,9.4575,0.0,6.0,0.675,0.225,0.47,7.093851803633384,7.382063804133843,8.096425366285805,,1.0,4.0,4.0
betrayal,no_affect,14202,2239.5,11.1975,0.0,,0.0,0.0,0.665,7.3238252837969755,6.776580676775564,6.65818198045905,,1.0,4.0,4.0
betrayal,no_affect,14203,2254.0,11.27,0.0,4.0,0.975,0.675,0.6275,6.574402241113652,6.6942007785657776,7.046400620060452,,1.0,2.0,2.0
betrayal,no_affect,14204,2293.5,11.4675,0.0,15.0,0.025,0.025,0.7125,6.783964836559992,6.451658320177086,6.394627241540897,,1.0,15.0,15.0
betrayal,no_affect,14205,1772.0,8.86,0.0,4.0,0.525,0.3,0.37,7.830174745186796,7.877149968058773,7.6975075998389695,,5.0,1.0,0.2
betrayal,no_affect,14206,2195.5,10.9775,0.0,,0.225,0.2,0.4425,7.208566072352045,7.095946568333463,7.26158974690962,,1.0,9.0,9.0
betrayal,no_affect,14207,2114.0,10.57,0.0,,0.225,0.125,0.4375,7.87996858495246,7.106892219552849,6.856647803796478,,1.0,1.0,1.0
betrayal,no_affect,14208,2270.5,11.3525,0.0,12.0,0.35,0.3,0.5375,6.877555083726379,6.901111615941208,6.9601639795898755,,1.0,4.0,4.0
betrayal,no_affect,14209,2206.0,11.03,0.0,4.0,0.075,0.05,0.3525,7.571515805907073,7.462216823955145,7.405786840498722,,1.0,2.0,2.0
betrayal,no_affect,14210,2229.0,11.145,0.0,112.0,0.0,0.0,0.57,7.524350870023468,6.797899705076705,7.020092600505575,,4.0,1.0,0.25
betrayal,no_affect,14211,2221.0,11.105,0.0,4.0,0.075,0.025,0.5625,7.47538197859596,6.823592567057095,6.830647336039112,,1.0,3.0,3.0
betrayal,no_affect,14212,2259.0,11.295,0.0,4.0,0.025,0.0,0.46,7.631806030131916,7.008630419723244,7.06720702204066,,1.0,1.0,1.0
